country,child_mort,fertility,co2_cap,gdp_cap,pop,life_exp,landlocked
Afghanistan,54.2,4.93,0.284,1390,40600000,62.6,1
Albania,8.19,1.36,2.1,15500,2830000,76.1,0
Algeria,20.9,2.82,3.88,11200,45500000,76.8,0
Andorra,2.79,1.07,5.91,56400,79700,82.7,1
Angola,68.6,5.21,1.23,5910,35600000,64.5,0
Antigua and Barbuda,5.82,1.58,5.94,21700,92800,76.8,0
Argentina,8.94,1.48,3.85,22400,45400000,75.4,0
Armenia,11.2,1.72,2.7,16000,2880000,73.7,1
Australia,3.33,1.64,13.9,51200,26200000,83.4,0
Austria,2.87,1.41,9.2,56200,9060000,82.7,1
Azerbaijan,19.5,1.69,3.84,15100,10300000,71.4,1
Bahamas,9.26,1.38,4.75,33100,398000,76.6,0
Bahrain,6.34,1.84,16,51900,1530000,76.3,0
Bangladesh,25.4,2.18,0.844,6260,169000000,75.5,0
Barbados,11.2,1.71,4.52,15600,282000,76.6,0
Belarus,3.04,1.33,6.32,19100,9170000,73,1
Belgium,3.15,1.55,16.9,52900,11600000,81.9,0
Belize,11.8,1.95,1.52,9400,403000,71.5,0
Benin,84.5,4.63,0.71,3440,13800000,64,0
Bhutan,25.3,1.48,1.8,11400,781000,74,1
Bolivia,23.9,2.58,1.99,8240,12100000,68.9,1
Bosnia and Herzegovina,5.18,1.48,6.45,16800,3200000,75,0
Botswana,33.3,2.79,5.1,15500,2440000,62.7,1
Brazil,12.7,1.63,2.11,15100,210000000,73.9,0
Brunei,10.5,1.76,24.5,58700,455000,74.2,0
Bulgaria,6.19,1.77,5.82,27000,6830000,69.9,0
Burkina Faso,66.5,4.28,0.306,2160,22500000,61.4,1
Burundi,52.3,4.98,0.051,708,13300000,63.5,1
Cambodia,24.0,2.62,2.55,4530,17200000,69.1,0
Cameroon,68.7,4.4,0.408,3730,27600000,62.7,0
Canada,4.76,1.37,13.2,49200,38800000,82.7,0
Cape Verde,16.9,1.53,1.26,7670,520000,72.5,0
Central African Republic,104.0,6.02,0.071,823,5100000,51.8,1
Chad,110.0,6.22,0.072,1420,18500000,60.1,1
Chile,6.5,1.26,4.54,25800,19600000,79.3,0
China,7.61,1.03,7.38,18200,1430000000,78.2,0
Colombia,12.8,1.66,2.39,15600,51700000,77,0
Comoros,62.3,3.94,0.287,3250,834000,68.3,0
Congo_Dem_Rep,81.4,6.11,0.026,1130,102000000,64.5,0
Congo_Rep,45.4,4.22,0.674,3210,6040000,65.8,0
Costa Rica,7.75,1.34,2.38,22000,5080000,78,0
Cote d'Ivoire,73.8,4.35,0.596,5510,30400000,63.8,0
Croatia,4.19,1.53,5.94,34200,3910000,79.2,0
Cuba,4.66,1.41,2.55,8760,11100000,79.2,0
Cyprus,2.09,1.39,5.62,43200,1330000,81.3,0
Czech Republic,3.04,1.62,9.84,41100,10700000,78.3,1
Denmark,3.72,1.56,7.68,59100,5900000,81.6,0
Djibouti,50.2,2.65,0.734,5030,1140000,66.6,0
Dominica,33.2,1.48,2.57,11500,66800,71.8,0
Dominican Republic,26.3,2.27,3.11,19300,11200000,73.8,0
Ecuador,12.7,1.86,2.7,11200,17800000,77,0
Egypt,18.6,2.75,2.4,12800,113000000,69.8,0
El Salvador,11.7,1.79,1.47,9420,6280000,74.6,0
Equatorial Guinea,77.2,4.17,4.75,14800,1800000,65.5,0
Eritrea,34.2,3.79,0.234,1950,3410000,63.1,0
Estonia,2.28,1.41,10.4,38000,1350000,78.5,0
Eswatini,47.9,2.8,1.15,8830,1220000,54.2,1
Ethiopia,46.5,4.08,0.188,2380,125000000,68.6,1
Fiji,23.7,2.31,2.6,12400,919000,68.8,0
Finland,1.47,1.32,8.76,49200,5570000,82.3,0
France,3.65,1.76,6.07,46000,66300000,83.4,0
Gabon,40.4,3.71,2.76,13900,2430000,66.9,0
Gambia,51.7,4.08,0.293,2130,2640000,65.8,0
Georgia,8.49,1.82,3.77,17200,3790000,71.5,0
Germany,2.8,1.46,9.3,53800,84100000,80.6,0
Ghana,42.4,3.43,0.773,5530,33100000,65.5,0
Greece,4.18,1.31,5.27,31600,10400000,80.3,0
Grenada,14.8,1.5,2.45,14600,117000,73.8,0
Guatemala,22.7,2.34,1.34,9160,17800000,68.2,0
Guinea,89.4,4.3,0.472,2700,14100000,60.5,0
Guinea-Bissau,73.6,3.91,0.198,1870,2110000,59.9,0
Guyana,27.9,2.44,3.15,35700,822000,64.3,0
Haiti,58.6,2.7,0.272,2800,11500000,63.3,0
Honduras,15.8,2.52,0.876,5720,10500000,69.9,0
Hungary,3.77,1.55,6.41,35400,9680000,75.1,1
Iceland,1.81,1.59,9.99,56300,380000,84.5,0
India,31.6,1.99,1.87,7100,1430000000,67.6,0
Indonesia,21.9,2.15,2.36,12400,279000000,69.1,0
Iran,12.4,1.7,7.67,15500,89500000,76.2,0
Iraq,23.9,3.29,5.76,9250,44100000,73,0
Ireland,2.79,1.59,8.59,110000,5110000,82.5,0
Israel,3.22,2.94,8.6,44400,9100000,82.8,0
Italy,2.64,1.24,6.92,43900,59600000,83.6,0
Jamaica,13.3,1.37,2.43,10100,2840000,75,0
Japan,2.24,1.26,9.99,41600,125000000,85.2,0
Jordan,14.5,2.68,2.9,9310,11300000,76.3,0
Kazakhstan,8.46,3.05,9.66,26300,20000000,69.8,1
Kenya,36.1,3.26,0.562,4880,54300000,65.6,0
Kiribati,46.6,3.18,0.65,2050,130000,61.2,0
Kuwait,7.01,1.55,24,48200,4590000,82.1,0
Kyrgyz Republic,16.8,2.81,2.81,5220,6960000,72.7,1
Lao,40.9,2.46,3.3,7950,7560000,69.8,1
Latvia,3.47,1.47,7.57,33100,1880000,76.3,0
Lebanon,7.16,2.26,3.92,13100,5740000,72,0
Lesotho,69.9,2.72,1.38,2300,2290000,50.7,1
Liberia,63.5,4.02,0.354,1460,5370000,66.1,0
Libya,10.6,2.4,8.84,20300,7220000,75.6,0
Lithuania,3.65,1.27,7.21,39800,2820000,74.3,0
Luxembourg,2.21,1.39,12.7,115000,653000,83.4,1
Madagascar,44.3,4.04,0.209,1500,30400000,64.8,0
Malawi,41.1,3.72,0.139,1470,20600000,63.5,1
Malaysia,7.01,1.55,7.5,28300,34700000,75.5,0
Maldives,7.17,1.58,3.31,21300,524000,79.8,0
Mali,87.6,5.69,0.204,2130,23100000,61.6,1
Malta,6.22,1.1,17.3,48100,528000,83.1,0
Marshall Islands,30.0,2.94,2.79,5990,40100,65.9,0
Mauritania,69.3,4.77,0.661,5500,4880000,69.7,0
Mauritius,13.9,1.27,4.88,22800,1280000,74.3,0
Mexico,11.9,1.94,3.64,19700,129000000,76.3,0
Micronesia_Fed_Sts,28.1,2.79,1.45,3260,112000,64,0
Moldova,14.0,1.69,1.25,13200,3040000,71.9,1
Mongolia,13.9,2.75,14.2,12100,3390000,68.9,1
Montenegro,2.26,1.88,3.17,22100,615000,75.7,0
Morocco,19.0,2.26,2,8080,37300000,74,0
Mozambique,63.4,4.84,0.456,1250,32700000,56.9,0
Myanmar,41.4,2.13,0.549,4170,53800000,70.1,0
Namibia,33.9,3.25,3.97,9560,2890000,60,0
Nauru,30.5,3.38,5.09,11100,11800,63.9,0
Nepal,27.6,2,0.922,4000,29700000,72,1
Netherlands,3.32,1.51,8.77,58500,17900000,82.2,0
New Zealand,5.39,1.67,7.51,45200,5130000,82.2,0
Nicaragua,16.1,2.24,0.944,5820,6730000,76,0
Niger,73.0,6.14,0.113,1280,25300000,61.7,1
Nigeria,109.0,4.55,0.692,4960,223000000,65.2,0
North Korea,15.4,1.8,1.32,1800,26300000,73.5,0
North Macedonia,9.09,1.59,3.51,17100,1840000,71.1,1
Norway,2.18,1.42,8.72,67300,5460000,83.3,0
Oman,9.77,2.45,14.9,35300,4730000,70.1,0
Pakistan,64.2,3.66,1.1,5380,244000000,65.5,0
Palau,16.2,1.93,14.2,13700,17800,68.1,0
Palestine,18.6,3.38,0.733,5730,5310000,73,0
Panama,14.0,2.14,4.02,33300,4400000,79,0
Papua New Guinea,42.8,3.17,0.986,3790,10200000,65.1,0
Paraguay,18.8,2.44,2,13500,6760000,73.3,1
Peru,12.6,2,2.01,12700,33500000,77.3,0
Philippines,26.0,1.93,1.61,8580,114000000,72.2,0
Poland,3.9,1.26,8.01,37800,38400000,77.2,0
Portugal,3.13,1.45,4.6,35800,10400000,82.3,0
Qatar,6.17,1.74,27.3,96500,2890000,76.8,0
Romania,6.53,1.72,4.36,32400,19200000,73.2,0
Russia,6.12,1.45,9.97,27700,146000000,69.2,0
Rwanda,29.1,3.78,0.179,2360,13700000,69.4,1
Samoa,14.1,3.88,1.43,5160,215000,70.9,0
Sao Tome and Principe,27.6,3.7,0.641,3980,226000,71.2,0
Saudi Arabia,6.11,2.14,18.4,49400,32200000,75.1,0
Senegal,37.1,3.86,1.02,3550,17700000,67.9,0
Serbia,4.87,1.52,5.11,20900,6790000,73.1,1
Seychelles,13.4,2.17,7.38,26300,126000,71.2,0
Sierra Leone,94.1,3.88,0.154,1630,8280000,61.9,0
Singapore,2.48,0.94,25.4,108000,5650000,85.2,0
Slovak Republic,4.97,1.56,7.37,33200,5470000,75.2,1
Slovenia,2.02,1.57,8.46,40900,2120000,81.9,0
Solomon Islands,18.3,3.62,0.295,2400,781000,59.5,0
Somalia,112.0,6.26,0.051,1130,17800000,57.5,0
South Africa,30.5,2.23,5.18,13500,62400000,60.5,0
South Korea,2.76,0.78,13.5,45500,51800000,83.3,0
South Sudan,92.8,3.96,0.186,365,11000000,63.4,1
Spain,2.67,1.21,5.66,39800,47800000,83.5,0
Sri Lanka,6.55,1.98,1.76,12300,22800000,77.9,0
St. Kitts and Nevis,10.4,1.51,4.66,29200,46700,72.6,0
St. Lucia,15.2,1.39,2.34,15400,179000,72.9,0
St. Vincent and the Grenadines,14.9,1.79,2.05,14900,102000,69.1,0
Sudan,55.1,4.38,0.55,3570,49400000,70.2,0
Suriname,17.1,2.27,3.39,15000,623000,70.7,0
Sweden,2.36,1.54,5.96,54800,10500000,83.3,0
Switzerland,3.73,1.4,11.6,71300,8790000,84.5,1
Syria,12.7,2.75,1.85,3350,22500000,74.4,0
Taiwan,4.11,0.87,12.5,58700,23400000,80.9,0
Tajikistan,30.1,3.13,1.47,4140,10200000,70,1
Tanzania,45.9,4.67,0.311,2620,64700000,67,0
Thailand,8.04,1.22,3.92,17500,71700000,79.1,0
Timor-Leste,40.0,2.8,0.461,3940,1370000,71.4,0
Togo,62.7,4.25,0.906,2210,9090000,65.8,0
Tonga,14.1,3.17,1.42,5970,105000,73.4,0
Trinidad and Tobago,16.8,1.54,17.7,23300,1500000,75.4,0
Tunisia,14.8,1.85,2.26,10600,12100000,75.9,0
Turkey,9.02,1.63,4.95,32900,87100000,79,0
Turkmenistan,42.8,2.73,15.5,15500,7230000,71.2,1
Tuvalu,22.9,3.24,1.09,4590,9990,68.5,0
UAE,6.79,1.15,21.1,74600,10200000,73.4,0
Uganda,40.4,4.39,0.183,2280,47300000,66.9,1
UK,4.14,1.56,6.93,46400,68200000,81.5,0
Ukraine,7.62,0.9,4.35,10800,41000000,67.9,0
Uruguay,6.86,1.43,3.21,24400,3390000,78,0
USA,6.62,1.67,16.4,64600,342000000,78,0
Uzbekistan,19.6,3.4,2.8,8070,34900000,68.8,1
Vanuatu,23.4,3.65,0.572,2790,313000,66,0
Venezuela,24.6,2.09,0.673,6160,28200000,74,0
Vietnam,19.4,1.93,2.17,11400,99700000,75,0
Yemen,53.5,4.59,0.395,1720,38200000,66.3,0
Zambia,51.5,4.18,0.424,3310,20200000,62.2,1
Zimbabwe,41.3,3.77,0.804,2210,16100000,59.1,1
