"","show_id","type","title","director","cast","country","date_added","release_year","rating","duration","genres","language","description","popularity","vote_count","vote_average","budget","revenue"
"10162",581600,"Movie","Spenser Confidential","Peter Berg","Mark Wahlberg, Winston Duke, Alan Arkin, Iliza Shlesinger, Michael Gaston","United States of America","2020-03-06",2020,6.53,NA,"Comedy, Action, Thriller","en","Spenser, a former Boston patrolman who just got out from prison, teams up with Hawk, an aspiring fighter, to unravel the truth behind the death of two police officers.",17.757,2326,6.53,0,0
"14312",1061990,"Movie","City Hunter","Yuichi Satoh","Ryohei Suzuki, Misato Morita, Masanobu Ando, Fumino Kimura, Asuka Hanamura","Japan","2024-04-24",2024,6.5,NA,"Action","ja","An exceptional marksman and hopeless playboy, private eye Ryo Saeba reluctantly forms an alliance with his late partner's sister to investigate his death.",51.573,209,6.5,0,0
"14305",801688,"Movie","Kalki 2898-AD","Nag Ashwin","Amitabh Bachchan, Prabhas, Deepika Padukone, Kamal Haasan, Saswata Chatterjee","India","2024-06-26",2024,6.4,NA,"Drama, Action, Fantasy, Science Fiction","te","In the year 2898 AD, around 6000 years after Kurukshetra war, Ashwatthama gears up for his final battle of redemption at the sign of hope in a dystopian world and Bhairava, a wisecracking and self-interested bounty hunter, tired of the perilous life becomes the hurdle in the process.",52.383,115,6.4,75000000,1.41e+08
"1758",71744,"Movie","Eating Out: Drama Camp","Q. Allan Brocka","Chris Salvatore, Daniel Skelton, Aaron Milo, Ronnie Kroell, Harmony Santana","United States of America","2011-07-01",2011,5.8,NA,"Comedy","en","Zack and Casey's relationship is in a slump, but things are about to change at Dick Dickey's Drama Camp. Zack meets gorgeous Benji, and when they get cast as lovers in a sexed-up version of The Taming of the Shrew, their self-restraint is put to the test. Will Zack and Casey's relationship last with Benji in the picture?",5.799,65,5.8,0,0
"10348",733317,"Movie","Monsters of Man","Mark Toia","Neal McDonough, Brett Tutor, Jose Rosete, David Haverty, Paul Haapaniemi","Australia","2020-11-19",2020,6.4,NA,"Science Fiction","en","A robotics company vying to win a lucrative military contract team up with a corrupt CIA agent to conduct an illegal live field test. They deploy four weaponized prototype robots into a suspected drug manufacturing camp in the Golden Triangle, assuming they'd be killing drug runners that no one would miss. Six doctors on a humanitarian mission witness the brutal slaughter and become prime targets.",12.533,350,6.4,1900000,0
"2543",97512,"Movie","The Courier","Hany Abu-Assad","Jeffrey Dean Morgan, Josie Ho, Miguel Ferrer, Lili Taylor, Mark Margolis","United States of America","2012-03-29",2012,5,NA,"Action, Crime","en","A shady FBI agent recruits a courier to deliver a mysterious package to a vengeful master criminal who has recently resurfaced with a diabolical plan.",8.273,121,5,15500000,58387
"13559",722149,"Movie","Luther: The Fallen Sun","Jamie Payne","Idris Elba, Cynthia Erivo, Andy Serkis, Dermot Crowley, Thomas Coombes","United Kingdom, United States of America","2023-02-24",2023,6.7,NA,"Crime, Mystery, Thriller","en","A gruesome serial killer is terrorizing London while brilliant but disgraced detective John Luther sits behind bars. Haunted by his failure to capture the cyber psychopath who now taunts him, Luther decides to break out of prison to finish the job by any means necessary.",14.815,955,6.7,0,0
"12263",1034337,"Movie","The Lost Lotteries","Prueksa Amaruji","Wongravee Nateetorn, Padung Songsang, Phantira Pipityakorn, Napapa Tantrakul, Somjit Jongjohor","Thailand","2022-11-16",2022,6.7,NA,"Crime, Comedy","th","Five down-on-their-luck strangers must band together to steal back winning lottery tickets worth millions from a wicked mafia boss.",20.007,27,6.7,0,0
"1965",79123,"Movie","Little Murder","Predrag Antonijević","Josh Lucas, Terrence Howard, Lake Bell, Deborah Ann Woll, Bokeem Woodbine","United States of America","2011-01-08",2011,5,NA,"Drama, Thriller","en","In post-Katrina New Orleans, a disgraced detective encounters the ghost of a murdered woman who wants to help him identify her killer.",4.554,26,5,0,0
"12711",983768,"Movie","Black Warrant","Tibor Takács","Tom Berenger, Cam Gigandet, Jeff Fahey, Jonathan Avigdori, Sara Seyed","United States of America","2022-12-09",2022,5.6,NA,"Action, Mystery, Thriller","en","A semi-retired special ops assassin and a DEA agent cross paths on separate missions to stop a cyber terrorist organization that has built a dangerous machine threatening to attack the power grid and bring catastrophe to the world.",10.219,52,5.6,0,0
